CompanyCode,CompanyName,AdminName
DHI,Druk Holding & Investments Ltd,bhagyalakshmi.tatkalitam@aarini.com
DGPC,Druk Green Power Corporation Ltd,
DCCL,Dungsum Cement Corporation Limited,
MSPCL,Menjong Sorig Pharmaceuticals Corporation Ltd,
NDI,Bhutan National Digital Identity,
DACL,Drukair Corporation Limited,
DHPC,Dagachhu Hydropower Corporation Limited,
THyE,Tangsibji Hydro Energy Limited,
BHSL,Bhutan Hydropower Services Ltd,
BPC,Bhutan Power Corporation Limited,
DPL,Dungsam Polymers Limited,
PCAL,Penden Cement Authority Ltd,
BBPL,Bhutan Board Products Limited,
KIL,Koufuku International Limited,
STCBL,State Trading Corporation of Bhutan Limited,
CDCL,Construction Development Corporation Limited,
NRDCL,Natural Resources Development Corporation Limited,
SMCL,State Mining Corporation Limited,
BTL,Bhutan Telecom Limited,
BOB,Bank of Bhutan,
TTPL,Thimphu Techpark Limited,
